time,location_name,temperature,humidity,weather_desc
2025-05-17 00:00,Mumbai,21.1,60.6,Rain
2025-05-17 01:00,Mumbai,27.6,81.7,Sunny
2025-05-17 02:00,Mumbai,29.8,46.1,Clear
2025-05-17 03:00,Mumbai,33.7,41.0,Sunny
2025-05-17 04:00,Mumbai,24.7,68.7,Rain
2025-05-17 05:00,Mumbai,24.9,58.0,Rain
2025-05-17 06:00,Mumbai,30.7,50.1,Cloudy
2025-05-17 07:00,Mumbai,30.4,42.4,Sunny
2025-05-17 08:00,Mumbai,22.7,73.9,Rain
2025-05-17 09:00,Mumbai,28.4,51.4,Clear
2025-05-17 10:00,Mumbai,22.8,60.3,Cloudy
2025-05-17 11:00,Mumbai,32.0,71.4,Cloudy
2025-05-17 12:00,Mumbai,29.3,51.4,Clear
2025-05-17 13:00,Mumbai,24.4,61.2,Cloudy
2025-05-17 14:00,Mumbai,24.0,73.8,Sunny
2025-05-17 15:00,Mumbai,29.6,44.2,Clear
2025-05-17 16:00,Mumbai,33.1,49.8,Cloudy
2025-05-17 17:00,Mumbai,29.9,80.4,Rain
2025-05-17 18:00,Mumbai,28.9,66.6,Sunny
2025-05-17 19:00,Mumbai,28.7,81.0,Cloudy
2025-05-17 20:00,Mumbai,29.1,60.7,Sunny
2025-05-17 21:00,Mumbai,23.0,63.4,Sunny
2025-05-17 22:00,Mumbai,21.4,66.7,Cloudy
2025-05-17 23:00,Mumbai,22.7,84.1,Cloudy
2025-05-18 00:00,Mumbai,26.2,51.9,Clear
2025-05-18 01:00,Mumbai,30.3,64.3,Rain
2025-05-18 02:00,Mumbai,27.2,63.5,Rain
2025-05-18 03:00,Mumbai,21.6,41.9,Sunny
2025-05-18 04:00,Mumbai,27.3,84.6,Sunny
2025-05-18 05:00,Mumbai,20.5,69.8,Cloudy
2025-05-18 06:00,Mumbai,32.5,42.6,Cloudy
2025-05-18 07:00,Mumbai,31.6,74.8,Rain
2025-05-18 08:00,Mumbai,33.9,57.6,Clear
2025-05-18 09:00,Mumbai,21.5,61.4,Rain
2025-05-18 10:00,Mumbai,25.0,45.0,Sunny
2025-05-18 11:00,Mumbai,29.3,70.6,Clear
2025-05-18 12:00,Mumbai,21.6,82.0,Cloudy
2025-05-18 13:00,Mumbai,29.2,40.8,Clear
2025-05-18 14:00,Mumbai,32.6,69.3,Clear
2025-05-18 15:00,Mumbai,35.0,43.0,Cloudy
2025-05-18 16:00,Mumbai,28.9,77.0,Sunny
2025-05-18 17:00,Mumbai,26.3,83.2,Clear
2025-05-18 18:00,Mumbai,21.6,63.2,Sunny
2025-05-18 19:00,Mumbai,32.9,67.3,Rain
2025-05-18 20:00,Mumbai,34.4,41.7,Sunny
2025-05-18 21:00,Mumbai,23.2,51.2,Clear
2025-05-18 22:00,Mumbai,29.8,54.5,Cloudy
2025-05-18 23:00,Mumbai,29.3,66.9,Rain
2025-05-17 00:00,Delhi,25.4,53.3,Sunny
2025-05-17 01:00,Delhi,26.5,73.6,Clear
2025-05-17 02:00,Delhi,30.2,73.8,Cloudy
2025-05-17 03:00,Delhi,24.8,59.8,Rain
2025-05-17 04:00,Delhi,25.6,51.8,Cloudy
2025-05-17 05:00,Delhi,20.8,42.9,Sunny
2025-05-17 06:00,Delhi,24.5,80.9,Rain
2025-05-17 07:00,Delhi,31.7,60.1,Clear
2025-05-17 08:00,Delhi,34.7,54.0,Clear
2025-05-17 09:00,Delhi,31.1,40.8,Rain
2025-05-17 10:00,Delhi,28.7,60.5,Clear
2025-05-17 11:00,Delhi,28.9,82.2,Sunny
2025-05-17 12:00,Delhi,22.8,62.0,Clear
2025-05-17 13:00,Delhi,34.4,82.8,Clear
2025-05-17 14:00,Delhi,29.0,41.0,Rain
2025-05-17 15:00,Delhi,26.2,68.2,Rain
2025-05-17 16:00,Delhi,23.6,84.1,Rain
2025-05-17 17:00,Delhi,27.1,72.3,Cloudy
2025-05-17 18:00,Delhi,21.0,80.5,Clear
2025-05-17 19:00,Delhi,32.0,65.5,Cloudy
2025-05-17 20:00,Delhi,21.3,78.3,Cloudy
2025-05-17 21:00,Delhi,34.0,69.9,Cloudy
2025-05-17 22:00,Delhi,21.8,44.6,Rain
2025-05-17 23:00,Delhi,21.6,74.8,Clear
2025-05-18 00:00,Delhi,27.1,78.5,Clear
2025-05-18 01:00,Delhi,31.5,47.0,Rain
2025-05-18 02:00,Delhi,31.8,56.3,Cloudy
2025-05-18 03:00,Delhi,29.3,67.1,Cloudy
2025-05-18 04:00,Delhi,25.4,69.2,Cloudy
2025-05-18 05:00,Delhi,23.7,40.2,Clear
2025-05-18 06:00,Delhi,28.1,75.6,Cloudy
2025-05-18 07:00,Delhi,27.1,76.2,Sunny
2025-05-18 08:00,Delhi,22.0,72.5,Rain
2025-05-18 09:00,Delhi,34.8,76.2,Sunny
2025-05-18 10:00,Delhi,21.7,57.9,Cloudy
2025-05-18 11:00,Delhi,20.4,65.9,Sunny
2025-05-18 12:00,Delhi,32.6,58.1,Sunny
2025-05-18 13:00,Delhi,21.7,40.3,Clear
2025-05-18 14:00,Delhi,20.0,60.3,Rain
2025-05-18 15:00,Delhi,32.5,55.9,Rain
2025-05-18 16:00,Delhi,26.6,46.7,Rain
2025-05-18 17:00,Delhi,26.0,69.7,Clear
2025-05-18 18:00,Delhi,34.0,74.4,Rain
2025-05-18 19:00,Delhi,23.4,57.6,Cloudy
2025-05-18 20:00,Delhi,33.5,72.4,Clear
2025-05-18 21:00,Delhi,34.2,51.9,Clear
2025-05-18 22:00,Delhi,30.3,72.5,Rain
2025-05-18 23:00,Delhi,24.4,75.3,Rain
2025-05-17 00:00,Bengaluru,30.6,47.7,Clear
2025-05-17 01:00,Bengaluru,21.5,64.6,Sunny
2025-05-17 02:00,Bengaluru,20.5,71.8,Sunny
2025-05-17 03:00,Bengaluru,34.8,46.1,Sunny
2025-05-17 04:00,Bengaluru,21.3,81.3,Rain
2025-05-17 05:00,Bengaluru,28.8,79.7,Clear
2025-05-17 06:00,Bengaluru,30.1,56.3,Rain
2025-05-17 07:00,Bengaluru,22.0,72.9,Clear
2025-05-17 08:00,Bengaluru,33.0,65.6,Cloudy
2025-05-17 09:00,Bengaluru,33.2,81.8,Rain
2025-05-17 10:00,Bengaluru,27.9,48.8,Sunny
2025-05-17 11:00,Bengaluru,22.8,46.4,Sunny
