time,location_name,temperature,humidity,weather_desc
2025-05-17 00:00,Mumbai,31.2,68.0,Cloudy
2025-05-17 01:00,Mumbai,22.7,57.4,Cloudy
2025-05-17 02:00,Mumbai,27.6,54.5,Clear
2025-05-17 03:00,Mumbai,28.6,45.9,Clear
2025-05-17 04:00,Mumbai,28.1,54.7,Sunny
2025-05-17 05:00,Mumbai,20.6,44.0,Clear
2025-05-17 06:00,Mumbai,29.5,68.6,Rain
2025-05-17 07:00,Mumbai,28.5,74.5,Sunny
2025-05-17 08:00,Mumbai,33.8,56.6,Rain
2025-05-17 09:00,Mumbai,27.6,49.4,Sunny
2025-05-17 10:00,Mumbai,32.0,80.6,Sunny
2025-05-17 11:00,Mumbai,24.2,43.6,Sunny
2025-05-17 12:00,Mumbai,26.3,84.9,Rain
2025-05-17 13:00,Mumbai,28.5,56.0,Clear
2025-05-17 14:00,Mumbai,24.3,58.5,Clear
2025-05-17 15:00,Mumbai,22.2,46.5,Cloudy
2025-05-17 16:00,Mumbai,26.9,79.9,Sunny
2025-05-17 17:00,Mumbai,21.4,62.4,Cloudy
2025-05-17 18:00,Mumbai,32.5,55.4,Cloudy
2025-05-17 19:00,Mumbai,26.0,47.4,Rain
2025-05-17 20:00,Mumbai,28.8,50.0,Rain
2025-05-17 21:00,Mumbai,22.3,76.9,Cloudy
2025-05-17 22:00,Mumbai,29.9,82.8,Cloudy
2025-05-17 23:00,Mumbai,27.7,74.7,Rain
2025-05-18 00:00,Mumbai,25.6,72.3,Clear
2025-05-18 01:00,Mumbai,20.9,49.3,Sunny
2025-05-18 02:00,Mumbai,30.4,55.1,Rain
2025-05-18 03:00,Mumbai,26.5,50.1,Rain
2025-05-18 04:00,Mumbai,25.5,67.3,Clear
2025-05-18 05:00,Mumbai,34.4,41.9,Sunny
2025-05-18 06:00,Mumbai,25.5,70.3,Clear
2025-05-18 07:00,Mumbai,28.4,58.0,Clear
2025-05-18 08:00,Mumbai,33.8,49.2,Rain
2025-05-18 09:00,Mumbai,24.3,52.2,Cloudy
2025-05-18 10:00,Mumbai,26.0,75.3,Clear
2025-05-18 11:00,Mumbai,29.3,69.5,Clear
2025-05-18 12:00,Mumbai,33.2,54.6,Clear
2025-05-18 13:00,Mumbai,32.4,52.6,Cloudy
