"city","country","pop2025","latitude","longitude"
"Mumbai","India",12691836,19.0728,72.8826
"Delhi","India",10927986,28.652,77.2315
"Bengaluru","India",5104047,12.9719,77.5937
"Kolkata","India",4631392,22.5626,88.363
"Chennai","India",4328063,13.0878,80.2785
"Ahmedabad","India",3719710,23.0258,72.5873
"Hyderabad","India",3597816,17.3841,78.4564
"Pune","India",2935744,18.5196,73.8553
"Surat","India",2894504,21.1959,72.8302
"Kanpur","India",2823249,26.4652,80.3497
"Jaipur","India",2711758,26.9196,75.7878
"Navi Mumbai","India",2600000,19.0368,73.0158
"Lucknow","India",2472011,26.8393,80.9231
"Nagpur","India",2228018,21.1463,79.0849
"Indore","India",1837041,22.7179,75.8333
"Patna","India",1599920,25.5941,85.1356
"Bhopal","India",1599914,23.2547,77.4029
"Ludhiana","India",1545368,30.912,75.8538
"Agra","India",1430055,27.1833,78.0167
