city,id,lon,lat,country
New Delhi,1261481,77.23114,28.61282,IN
Mumbai,1275339,72.847939,19.01441,IN
Bengaluru,1277333,77.60335,12.97194,IN
Kolkata,1275004,88.36972,22.56972,IN
Chennai,1264527,80.27847,13.08784,IN
Hyderabad,1269843,78.47444,17.38405,IN
Pune,1259229,73.85535,18.51957,IN
Ahmedabad,1279233,72.58602,23.02579,IN
Jaipur,1269515,75.79216,26.92207,IN
Surat,1255364,72.83198,21.19594,IN
Lucknow,1264733,80.94616,26.83928,IN
Kanpur,1267995,80.35033,26.47194,IN
Nagpur,1262180,79.08886,21.14631,IN
Indore,1269743,75.8472,22.71792,IN
Bhopal,1275841,77.40289,23.25469,IN
Visakhapatnam,1253405,83.21815,17.68009,IN
Patna,1260086,85.13563,25.59408,IN
Vadodara,1253573,73.20812,22.29941,IN
Agra,1279259,78.00122,27.18671,IN
Nashik,1262321,73.78121,19.99727,IN
